numEl;sortName;arrKind;avgTime
1000;bubbleSort;arr07;4084360
1000;bubbleSort;arr0max;4403190
1000;bubbleSort;arrNearlySorted;3412650
1000;bubbleSort;arrReverseSorted;4567740
1000;bubbleSort1;arr07;3607600
1000;bubbleSort1;arr0max;4181890
1000;bubbleSort1;arrNearlySorted;10000
1000;bubbleSort1;arrReverseSorted;4589390
1000;bubbleSort2;arr07;2432820
1000;bubbleSort2;arr0max;2811260
1000;bubbleSort2;arrNearlySorted;5010
1000;bubbleSort2;arrReverseSorted;3017830
1000;insertionSort;arr07;848310
1000;insertionSort;arr0max;936330
1000;insertionSort;arrNearlySorted;5740
1000;insertionSort;arrReverseSorted;1866240
1000;binInsertionSort;arr07;736000
1000;binInsertionSort;arr0max;824550
1000;binInsertionSort;arrNearlySorted;5000
1000;binInsertionSort;arrReverseSorted;1572300
1000;countingSort;arr07;19920
1000;countingSort;arr0max;230260
1000;countingSort;arrNearlySorted;25050
1000;countingSort;arrReverseSorted;89910
1000;radixSort;arr07;60030
1000;radixSort;arr0max;60040
1000;radixSort;arrNearlySorted;80070
1000;radixSort;arrReverseSorted;80060
2000;bubbleSort;arr07;16333810
2000;bubbleSort;arr0max;17190960
2000;bubbleSort;arrNearlySorted;13879550
2000;bubbleSort;arrReverseSorted;18783460
2000;bubbleSort1;arr07;14326200
2000;bubbleSort1;arr0max;17058090
2000;bubbleSort1;arrNearlySorted;3279110
2000;bubbleSort1;arrReverseSorted;18859240
2000;bubbleSort2;arr07;10023710
2000;bubbleSort2;arr0max;11142090
2000;bubbleSort2;arrNearlySorted;2322200
2000;bubbleSort2;arrReverseSorted;12219960
2000;insertionSort;arr07;3308180
2000;insertionSort;arr0max;3791590
2000;insertionSort;arrNearlySorted;10000
2000;insertionSort;arrReverseSorted;7656020
2000;binInsertionSort;arr07;2985710
2000;binInsertionSort;arr0max;3451710
2000;binInsertionSort;arrNearlySorted;60050
2000;binInsertionSort;arrReverseSorted;6175470
2000;countingSort;arr07;30210
2000;countingSort;arr0max;275180
2000;countingSort;arrNearlySorted;60020
2000;countingSort;arrReverseSorted;104930
2000;radixSort;arr07;110130
2000;radixSort;arr0max;140250
2000;radixSort;arrNearlySorted;140130
2000;radixSort;arrReverseSorted;134870
3000;bubbleSort;arr07;37633540
3000;bubbleSort;arr0max;39510910
